geo;indicator;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
ecu;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.78;;;;;;2.8;2.99;5.06;;1.1086;1.2641;5.7;3.3814;1.5695;0.9332;0.9222;1.0803;0.8114;0.6959;0.6925;0.3959;0.5123;0.4553;0.542;0.4872;1.0025;0.6301
esp;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.46;0.54;0.39;0.84;1.35;;0.93;0.72;1.79;2.8495;1.7519;1.4826;1.5581;1.2341;1.6058;3.9774;2.4558;2.3509;1.9656;1.4105;1.6189;1.5172;1.0708;1.7107;1.4955;1.585;2.0398;1.6135;2.3241;1.712;1.4248;2.4884;2.7807;2.5203;2.0568;3.9984;6.3481;5.2038;4.0938;4.4102;4.0664
est;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8220000000000001;0.5920000000000001;1.7280000000000002;1.48;0.991;7.047000000000001;5.979;6.0769;;5.2421;1.07;10.9388;;;;1.9735;2.1125;;2.0438;3.9642;3.1941;4.0272;4.0069;2.8714;2.9268;3.827;2.6801;2.1257
eth;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.3656;;;;;;0.8322;;;;;;;;0.6478;;;;
fin;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.32;;;;;;;;;;;;;1.0621;0.3852;0.6448;0.7013;1.2059;1.1891;1.4971;0.9895;1.7262;1.5299
fji;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.28;;;
fra;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.3393;0.6509;;1.072;1.3513;1.4471;2.0471;3.96;1.5614;1.3067;;;2.1607;1.5428;;1.1882;;;;;;;;1.4616;1.4121;2.6041;3.1793;2.4012;1.1628;1.2907;3.6029;4.8656;2.6671;2.4994;3.0471
gab;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.58;;;;;;;;;;;;;;;;;6.27;;;;;;;
gbm;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.09;;;;;0.0;;;;;0.43;
gbr;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.2710000000000004;4.333;6.6762;7.6677;6.1909;5.2738;6.7963;4.2138;5.151;4.7911;4.3922;3.4386;2.6062;3.3156;3.3406;2.9635;2.3564;1.8831;1.9173;2.8109;1.9780000000000002;2.31;1.9792;2.0854;1.7394;2.0165;2.7935;2.4537;2.2684;2.3388;1.9524;1.9643;1.6689;1.4781;1.4453
geo;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.06;2.17;1.66;1.77;1.31;1.41;1.27;;1.2;1.66;1.35;0.71;0.62;0.83;1.39;0.88;0.86;1.52;
gha;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.27;;;;;;1.207;;;;1.22;;;0.2561;;3.2529;;
gin;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8951;;;;;;;;;;;;;;;
glp;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;
gmb;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.4742;;;;;
grc;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.26;0.61;0.3939;0.6676;0.5519;0.4548;0.4447;0.6842;0.5351;0.8822;1.1432;0.9141;0.8111;0.6243;0.7592;1.1149;0.9042;1.3688;1.4004;1.0401;1.1783;0.745;1.0953;1.1905;1.4362;1.2044;1.1247;0.8338;0.8407;1.3439;2.5681;4.4355;9.0653;10.7621;10.0395;12.767000000000001;11.6609
grd;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.77;;;9.56;;3.76;;2.49;;;;;;;;;;;;;;;;;;;
gtm;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8883;1.5284;;;;;;1.7181;1.2884;;1.4202;0.6928;;;
guf;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.69;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;
guy;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.77;;;;;;;;;;;;;;;
hkg;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.64;1.69;0.7;0.28;;;;0.73;1.18;1.45;1.41;0.43;0.48;0.96;;;1.43;3.3;2.12;2.96;1.32;;;;1.52;;1.09;0.77;1.42;2.48;1.81;1.92;
hnd;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6185;0.7796;0.4338;0.4463;0.4016;0.7311;0.5625;;0.5454;;1.0674;1.3617;
