geo;indicator;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
egy;sugar_per_person_g_per_day;33.94;36.94;37.11;37.98;39.8;41.06;40.17;40.52;40.51;42.08;42.99;44.39;46.39;47.77;51.49;53.25;57.0;61.02;67.63;71.8;75.93;84.09;86.33;90.92;88.75;86.81;84.07;85.69;84.74;86.61;86.12;84.87;80.02;78.55;79.51;79.92;83.44;79.27;80.95;82.1;88.12;83.52;76.36;75.94;74.41;72.49;72.51;74.56;68.53;81.16;82.88;73.88;77.99
esp;sugar_per_person_g_per_day;56.26;64.21;57.43;62.87;63.32;67.54;78.32;73.24;75.17;79.76;80.96;80.55;81.4;88.51;81.57;91.53;90.24;90.58;95.79;83.68;83.41;83.8;78.97;70.89;78.17;73.26;75.68;74.58;73.57;76.13;75.55;79.12;77.84;80.02;80.4;80.48;80.76;81.54;81.4;81.01;81.72;81.48;81.71;81.91;81.94;82.85;81.67;82.8;82.91;83.24;85.21;85.49;85.59
est;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.23;58.23;78.47;67.71;92.49;103.38;101.05;138.56;150.1;150.86;118.0;120.15;143.98;144.23;130.91;130.58;119.3;127.45;126.46;119.84;89.51;86.53
eth;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.11;8.69;9.33;10.52;11.12;10.97;11.52;11.49;11.62;11.28;11.56;15.41;14.97;15.81;15.33;16.33;14.82;16.09;17.77;15.67;18.09
fin;sugar_per_person_g_per_day;123.72;113.69;89.33;117.6;119.68;128.1;124.61;127.27;136.15;139.53;135.97;136.77;139.99;133.03;122.59;121.81;113.29;104.59;91.46;104.77;99.86;100.01;101.68;96.79;101.23;93.08;97.05;105.68;112.33;115.85;111.21;118.9;120.46;110.4;109.62;104.02;105.29;100.65;100.42;105.35;95.78;95.28;94.06;95.43;93.23;91.4;94.38;81.94;92.66;84.36;85.82;86.84;86.78
fji;sugar_per_person_g_per_day;80.94;81.0;81.27;82.07;82.19;82.92;83.55;85.14;86.38;86.91;88.64;88.18;89.73;89.0;88.48;88.72;89.94;89.49;90.49;79.17;77.36;75.78;76.09;76.07;85.88;73.97;64.42;70.77;73.67;75.51;76.14;76.22;73.64;71.67;70.93;68.37;70.3;71.91;79.13;78.77;90.35;92.62;98.99;102.5;109.92;112.02;111.2;106.03;108.84;99.49;108.64;107.95;104.33
fra;sugar_per_person_g_per_day;83.48;89.81;90.71;96.79;91.62;95.48;109.36;92.42;104.4;109.24;115.37;107.86;120.59;116.52;107.81;108.75;105.63;108.24;97.3;91.19;98.05;92.69;98.23;96.28;95.6;93.01;101.24;98.89;98.13;98.75;99.73;103.33;101.38;101.17;102.19;105.88;107.21;110.21;112.29;108.85;111.64;113.21;110.64;112.77;114.17;103.81;102.07;99.55;110.61;104.08;103.35;104.21;107.46
gab;sugar_per_person_g_per_day;5.65;7.18;7.74;10.01;8.34;12.42;11.95;11.96;12.74;12.16;11.7;12.5;12.2;21.78;47.01;43.86;53.28;50.33;54.96;56.47;62.75;63.15;60.47;61.46;59.24;62.32;60.76;59.27;57.9;52.26;40.86;40.19;46.69;43.43;44.38;46.7;47.02;50.06;49.01;43.1;42.29;43.56;44.8;45.15;43.66;43.03;43.63;39.73;43.45;44.38;44.78;41.68;42.62
gbr;sugar_per_person_g_per_day;141.65;122.5;136.02;132.09;141.41;138.1;140.81;133.57;133.6;135.06;133.88;121.88;139.13;114.53;126.03;126.34;130.7;113.79;117.65;118.49;117.19;127.89;116.55;116.73;109.35;111.94;112.96;114.01;114.87;113.9;112.39;110.1;99.19;108.18;103.85;108.34;107.61;103.39;109.17;102.35;110.7;112.66;110.54;113.72;103.06;90.45;99.01;99.89;106.21;100.24;109.86;105.87;113.09
geo;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.59;33.59;28.07;40.4;72.9;80.91;75.25;75.49;84.03;81.08;89.63;92.09;103.36;105.59;107.8;117.02;123.69;117.45;85.29;81.25;96.81;93.06
