geo;indicator;2004;2005;2006;2007
tjk;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
tkl;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
tkm;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
tls;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
ton;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
transn;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
tto;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
tun;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
tur;dollar_billionaires_per_million_people;0.08709;0.1148;0.2982;0.3513
tuv;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
twn;dollar_billionaires_per_million_people;0.4396;0.3058;0.2171;0.3452
tza;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
uga;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
ukr;dollar_billionaires_per_million_people;0.0;0.06383;0.06422;0.1507
ury;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
usa;dollar_billionaires_per_million_people;0.9453;1.153;1.2429999999999999;1.3780000000000001
ussr;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
uzb;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
vct;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
ven;dollar_billionaires_per_million_people;0.07994;0.07882;0.07773;0.07667
vgb;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
vir;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
vnm;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
vut;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
wlf;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
wsm;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
yem;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
yem_north;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
yem_south;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
yug;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
zaf;dollar_billionaires_per_million_people;0.045;0.06765;0.06788999999999999;0.06819
zmb;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
zwe;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
