geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
gtm;self_employed_percent_of_employment;69.704;69.684;69.362;69.092;68.82300000000001;68.632;68.57600000000001;68.29;68.09100000000001;67.721;67.641;67.54899999999999;47.137;47.309;47.216;47.503;46.808;46.453;46.071999999999996;46.18899999999999;43.034;47.114;43.416000000000004;40.613;39.606;37.510999999999996;37.623000000000005;37.499;37.398;37.26;37.111999999999995;36.963
gum;self_employed_percent_of_employment;31.56;31.553;31.487;31.445999999999998;31.372;31.264;31.197;30.936;30.746;30.728;30.622;30.65;30.513;30.508000000000003;30.469;30.357;30.043000000000003;29.822;29.728;30.005;29.871;29.86;29.851999999999997;29.805999999999997;29.811999999999998;29.773000000000003;29.721;29.706999999999997;29.693;29.68;29.668000000000003;29.656
guy;self_employed_percent_of_employment;41.47;39.494;41.246;40.576;38.226;38.218;37.795;36.839;36.674;36.625;36.678000000000004;36.452;36.135999999999996;35.952;34.589;34.41;34.551;34.275;34.254;34.483000000000004;34.4;34.407;33.789;33.33;33.217;34.231;35.426;35.223;35.041;38.109;36.794000000000004;34.424
hkg;self_employed_percent_of_employment;12.049000000000001;11.743;11.392999999999999;10.886;10.852;10.835;10.355;10.384;10.886;10.558;11.974;12.91;12.708;12.533;12.27;12.252;11.345;11.21;11.225;9.96;10.158999999999999;10.249;10.18;9.171;8.999;9.002;9.019;9.007;8.994;8.98;8.971;8.962
hnd;self_employed_percent_of_employment;52.266000000000005;49.003;50.059;49.239;50.324;53.70399999999999;53.148;51.9;52.955;51.803999999999995;51.052;53.442;53.957;51.9;50.095;52.638999999999996;52.419;51.725;54.159;55.648;56.97;56.916000000000004;55.762;50.419;51.635;48.361999999999995;48.403;48.205;48.052;47.883;47.678000000000004;47.473
hrv;self_employed_percent_of_employment;21.572;26.088;28.993000000000002;32.513000000000005;29.316999999999997;28.611;25.983;24.75;24.941999999999997;23.949;24.33;24.160999999999998;24.465999999999998;24.145;24.915;23.006999999999998;20.803;20.895;20.875999999999998;21.858;21.803;19.767;18.096;15.632;15.69;13.929;13.828;13.782;13.749;13.716;13.696;13.683
hti;self_employed_percent_of_employment;86.198;86.14200000000001;86.544;86.524;87.57;88.022;87.751;87.899;87.715;87.574;87.62299999999999;87.735;87.785;87.939;87.949;87.93799999999999;87.87799999999999;88.015;87.992;88.147;88.26299999999999;88.31299999999999;88.30799999999999;88.375;88.445;88.49799999999999;88.491;88.508;88.461;88.412;88.359;88.304
hun;self_employed_percent_of_employment;20.462;22.101;19.738;19.456;19.858;17.903;17.516;16.059;15.735999999999999;15.257;14.689;13.827;13.365;14.489;13.74;12.757;12.505;12.251;12.659;12.355;12.181;11.763;11.305;11.015999999999998;10.895;10.773;11.064;11.071;11.015999999999998;10.992;10.968;10.944
idn;self_employed_percent_of_employment;67.857;67.616;67.699;66.589;65.184;63.705;62.898;63.157;64.304;64.601;64.046;63.941;65.556;64.221;61.93;61.373000000000005;61.56;62.104;61.228;60.187;57.466;54.794;53.601000000000006;53.247;50.882;51.105;51.012;50.931999999999995;50.85;50.768;50.685;50.603
ind;self_employed_percent_of_employment;86.175;86.04;85.85600000000001;85.315;85.81299999999999;85.277;85.311;85.17;85.029;84.814;88.208;88.212;87.846;87.16799999999999;86.51899999999999;85.667;84.77799999999999;84.64399999999999;84.21600000000001;83.376;80.979;80.74;80.34899999999999;80.007;79.561;79.081;79.033;78.94;78.852;78.766;78.684;78.605
