geo;indicator;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
fin;residential_energy_use_percent;7.247999999999999;9.49;12.54;13.76;13.86;16.51;18.4;18.85;20.78;19.6;21.32;21.46;21.74;22.36;19.14;22.77;23.16;24.95;25.23;24.46;23.11;21.25;20.59;19.68;22.03;24.71;24.45;24.7;22.82;21.8;23.98;25.18;25.1;24.2;23.84;24.36;23.57;22.36;22.28;21.25;18.51;19.93;19.66;19.81;19.05;19.84;19.37;19.3;19.23;21.6;21.58
fra;residential_energy_use_percent;25.09;24.26;24.89;26.1;22.38;19.93;17.87;16.52;15.57;13.99;17.75;16.46;15.31;15.05;15.29;16.0;15.72;15.92;15.82;16.28;15.99;16.75;17.49;18.59;18.79;27.92;28.21;27.46;25.74;25.3;24.99;26.32;25.72;25.54;24.34;23.45;24.93;23.72;23.75;24.0;25.0;25.28;24.85;25.29;26.28;25.94;25.8;24.27;25.79;27.16;27.05
gab;residential_energy_use_percent;;;;;;;;;;;;64.47;64.43;63.46;64.1;59.99;50.97;47.35;42.45;49.2;50.57;46.38;51.29;51.56;55.24;54.86;55.06;56.34;53.48;59.44;64.67;62.56;62.1;60.23;60.28;59.42;59.13;58.05;57.4;59.73;61.88;57.77;58.31;58.35;58.95;56.04;57.24;55.47;55.72;54.88;54.08
gbr;residential_energy_use_percent;36.67;35.6;36.0;35.55;32.65;31.22;29.06;26.66;25.81;25.55;25.14;24.22;24.03;23.51;24.86;25.08;24.55;24.81;25.18;26.0;27.36;27.78;27.61;27.61;26.92;28.55;28.9;28.5;27.18;26.47;27.05;28.41;28.37;28.95;27.93;27.34;29.19;27.88;28.56;28.09;28.59;29.39;29.33;29.81;30.3;29.71;29.5;29.23;29.61;30.21;32.33
geo;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.11;23.64;33.91;43.46;25.89;53.03;40.54;42.17;49.07;49.36;52.65;52.33;50.46;49.54;49.73;36.86;36.64;35.79;35.76;38.13;39.57
gha;residential_energy_use_percent;;;;;;;;;;;;65.16;64.71;63.86;63.73;63.58;63.47;63.41;65.4;66.47;64.68;63.5;66.26;73.52;74.75;72.69;70.01;69.09;68.75;68.12;68.53;69.39;68.12;68.77;69.16;67.65;66.79;66.31;65.94;63.73;63.96;64.28;63.47;54.54;53.38;53.11;52.31;52.41;52.69;49.98;49.56
gib;residential_energy_use_percent;;;;;;;;;;;;8.462;10.08;9.189;9.594;8.766;11.36;11.41;12.32;8.611;9.208;12.95;10.53;9.817;10.72;9.045;7.337000000000001;6.567;6.04;6.756;6.215;4.637;3.8569999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
grc;residential_energy_use_percent;25.64;24.47;25.24;25.59;21.63;20.08;15.55;17.51;17.12;17.78;24.65;24.64;23.15;22.98;23.39;23.51;21.55;20.09;22.16;19.67;18.58;18.93;21.09;19.0;18.7;19.37;19.13;20.73;19.97;19.78;21.01;21.15;21.36;21.32;21.5;21.63;23.84;23.94;23.38;23.75;24.28;24.6;25.12;26.67;26.48;26.44;25.68;24.66;24.6;23.55;23.79
gtm;residential_energy_use_percent;;;;;;;;;;;;61.14;60.66;59.89;58.12;67.32;68.11;66.77;65.76;64.24;66.72;69.27;70.43;73.28;72.65;72.75;73.04;70.69;70.01;70.07;68.9;66.46;65.97;64.44;62.8;59.32;60.03;58.77;56.25;59.12;58.77;57.44;56.88;59.72;56.72;55.2;57.22;56.77;60.02;57.56;64.97
hkg;residential_energy_use_percent;;;;;;;;;;;;16.79;15.32;16.1;13.43;15.48;13.0;12.9;12.3;14.99;14.74;9.408999999999999;8.937000000000001;10.04;9.826;10.99;10.54;10.61;10.52;11.55;12.71;13.13;12.09;12.83;13.44;14.46;15.51;15.41;12.47;10.34;12.52;12.76;14.25;15.23;16.15;16.8;16.02;15.76;16.01;14.93;16.04
