geo;indicator;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
dma;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;-2.405;-0.6307;0.1289;1.26;2.463;3.472;3.758;4.04;3.929;4.681;6.046;3.5839999999999996;4.127;3.728;3.658;3.372;2.7960000000000003;2.497;2.9189999999999996;3.742;2.859;2.3369999999999997;1.288;0.6942;
dnk;economic_growth_over_the_past_10_years;2.5860000000000003;3.577;3.987;3.358;3.7939999999999996;4.343;4.382;4.317;4.488;4.199;3.7889999999999997;3.4;3.275;3.611;2.556;1.963;2.349;2.128;1.9909999999999999;1.725;1.4509999999999998;1.025;0.9096;0.7977;1.381;1.983;1.787;1.7009999999999998;1.672;1.389;1.5590000000000002;1.899;1.785;1.524;1.682;1.604;1.4269999999999998;1.745;1.815;2.017;2.2840000000000003;2.201;2.036;2.14;1.777
dom;economic_growth_over_the_past_10_years;;1.7069999999999999;3.656;4.637;4.657;3.201;2.9339999999999997;2.19;1.537;1.841;2.653;3.4760000000000004;1.973;2.082;2.2769999999999997;3.35;3.111;3.761;4.246;3.952;3.572;3.887;3.6830000000000003;3.1430000000000002;2.457;2.266;2.224;2.11;1.992;1.93;0.5292;-0.05325;0.5704;0.8244;1.271;1.754;2.234;2.592;3.2089999999999996;3.5039999999999996;4.623;4.973;4.556;3.736;
dza;economic_growth_over_the_past_10_years;;;;;;;;;;;0.9397;0.8213;5.814;3.028;0.6806;-0.2438;1.6569999999999998;1.092;0.9978;2.562;1.68;2.5180000000000002;1.114;1.776;3.051;3.1860000000000004;2.833;3.33;2.306;0.5496;0.973;1.206;0.8472;0.2876;-0.4355;-0.2456;-0.4079;-0.8345;-0.1165;0.058710000000000005;0.3242;0.3357;0.1876;0.9883;
ecu;economic_growth_over_the_past_10_years;;1.925;1.454;1.444;1.632;1.517;1.27;1.379;1.649;1.389;1.3;1.507;2.475;4.362;4.6080000000000005;5.071000000000001;5.943;6.207000000000001;6.367999999999999;6.595;6.379;6.439;5.1770000000000005;2.6260000000000003;1.929;1.495;0.8109;-0.7109;-0.2341;-0.8106;-1.031;-1.074;-0.8837;-0.4745;-0.3896;-0.3376;-0.3296;0.7458;-0.2265;-0.2405;-0.3156;-0.4119;-0.4735;-0.2999;0.01158
egy;economic_growth_over_the_past_10_years;1.653;1.3730000000000002;0.9217;0.6008;2.747;3.159;2.762;2.764;2.7260000000000004;2.9739999999999998;2.69;2.444;2.997;2.617;1.145;0.5888;1.982;2.695;2.208;2.366;3.1189999999999998;2.944;2.801;3.779;3.9130000000000003;4.582;3.772;3.2960000000000003;3.384;3.412;2.782;3.215;3.177;2.826;2.7760000000000002;2.7569999999999997;3.33;2.885;3.133;3.085;2.971;2.7939999999999996;2.775;2.8689999999999998;
eri;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.341;0.6869;-0.8219
esp;economic_growth_over_the_past_10_years;5.266;4.85;5.365;6.744;5.922999999999999;5.9879999999999995;5.9639999999999995;5.919;6.1;7.2829999999999995;6.507999999999999;5.695;5.529;5.358;5.414;4.772;4.365;4.15;3.627;2.764;2.6060000000000003;2.19;1.515;0.9527;0.6082;0.8575;0.898;1.305;1.771;2.269;2.47;2.786;2.7769999999999997;2.497;2.573;2.6289999999999996;2.555;2.4019999999999997;2.352;2.3280000000000003;2.41;2.444;2.531;2.844;2.7969999999999997
est;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.2736;1.685;4.571000000000001;4.765;5.652
eth;economic_growth_over_the_past_10_years;1.94;1.0390000000000001;1.005;0.7956;1.285;1.547;1.383;1.7209999999999999;2.199;2.055;1.838;1.892;1.9680000000000002;1.9340000000000002;1.578;0.9576;0.9599;0.8445;0.3321;0.272;0.5426;0.5168;0.1396;0.3616;-0.7023;-0.5897;-0.6748;-2.9330000000000003;-0.3643;-1.3869999999999998;-0.8547;-1.6269999999999998;0.9109;1.314;2.485;2.7939999999999996;3.366;6.272;3.7460000000000004;5.357;4.574;5.162999999999999;2.937;1.483;
