geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
cri;mean_years_in_school_women_25_to_34_years;4.69;4.81;4.93;5.06;5.18;5.31;5.44;5.57;5.7;5.83;5.96;6.09;6.23;6.36;6.49;6.63;6.76;6.9;7.03;7.17;7.3;7.43;7.56;7.69;7.82;7.94;8.07;8.21;8.34;8.48;8.62;8.77;8.91;9.06;9.21;9.36;9.51;9.66;9.82;9.97;10.13;10.28;10.44;10.6;10.76;10.92
cub;mean_years_in_school_women_25_to_34_years;5.93;6.07;6.21;6.35;6.5;6.64;6.79;6.94;7.1;7.25;7.4;7.56;7.72;7.87;8.03;8.19;8.36;8.52;8.68;8.85;9.01;9.18;9.35;9.52;9.69;9.86;10.03;10.21;10.38;10.55;10.73;10.9;11.07;11.24;11.41;11.58;11.75;11.91;12.08;12.24;12.4;12.56;12.72;12.88;13.04;13.19
cyp;mean_years_in_school_women_25_to_34_years;7.04;7.22;7.4;7.58;7.76;7.94;8.13;8.32;8.51;8.71;8.9;9.1;9.3;9.5;9.7;9.9;10.11;10.31;10.51;10.71;10.91;11.11;11.3;11.49;11.67;11.85;12.0;12.15;12.29;12.44;12.59;12.73;12.87;13.02;13.16;13.3;13.44;13.58;13.72;13.85;13.99;14.12;14.25;14.39;14.52;14.64
cze;mean_years_in_school_women_25_to_34_years;7.89;8.06;8.23;8.39;8.56;8.73;8.9;9.07;9.24;9.41;9.58;9.74;9.91;10.08;10.24;10.4;10.57;10.73;10.88;11.04;11.19;11.34;11.49;11.64;11.78;11.92;12.05;12.18;12.31;12.44;12.57;12.7;12.83;12.96;13.08;13.21;13.34;13.46;13.59;13.72;13.84;13.97;14.09;14.22;14.34;14.47
deu;mean_years_in_school_women_25_to_34_years;6.95;7.11;7.28;7.44;7.61;7.78;7.95;8.12;8.29;8.47;8.64;8.82;8.99;9.17;9.34;9.52;9.7;9.87;10.05;10.22;10.4;10.57;10.75;10.92;11.09;11.26;11.42;11.58;11.73;11.89;12.04;12.2;12.35;12.5;12.65;12.8;12.95;13.1;13.25;13.39;13.54;13.68;13.82;13.96;14.1;14.24
dji;mean_years_in_school_women_25_to_34_years;0.99;1.03;1.06;1.1;1.13;1.17;1.21;1.25;1.29;1.34;1.38;1.43;1.47;1.52;1.57;1.62;1.68;1.73;1.79;1.85;1.91;1.97;2.03;2.1;2.17;2.23;2.31;2.38;2.46;2.54;2.62;2.7;2.79;2.87;2.96;3.05;3.14;3.24;3.33;3.43;3.53;3.63;3.73;3.84;3.94;4.05
dma;mean_years_in_school_women_25_to_34_years;5.33;5.46;5.6;5.73;5.87;6.01;6.16;6.3;6.45;6.6;6.75;6.9;7.05;7.21;7.36;7.52;7.68;7.84;8.0;8.17;8.33;8.49;8.66;8.83;8.99;9.16;9.33;9.5;9.67;9.83;10.0;10.17;10.34;10.51;10.68;10.84;11.01;11.18;11.34;11.51;11.67;11.84;12.0;12.16;12.32;12.48
dnk;mean_years_in_school_women_25_to_34_years;8.36;8.53;8.69;8.86;9.02;9.19;9.36;9.52;9.69;9.86;10.03;10.19;10.36;10.52;10.69;10.85;11.02;11.18;11.34;11.5;11.66;11.81;11.97;12.12;12.27;12.42;12.56;12.71;12.85;13.0;13.14;13.28;13.42;13.56;13.7;13.84;13.97;14.11;14.24;14.37;14.5;14.63;14.76;14.88;15.0;15.13
dom;mean_years_in_school_women_25_to_34_years;4.12;4.24;4.36;4.48;4.61;4.74;4.87;5.01;5.15;5.29;5.43;5.58;5.72;5.88;6.03;6.18;6.34;6.5;6.66;6.83;6.99;7.16;7.33;7.5;7.67;7.84;8.0;8.16;8.32;8.49;8.65;8.81;8.98;9.14;9.31;9.47;9.64;9.8;9.97;10.13;10.3;10.46;10.63;10.79;10.95;11.12
dza;mean_years_in_school_women_25_to_34_years;2.34;2.42;2.49;2.57;2.65;2.73;2.81;2.9;2.98;3.07;3.17;3.26;3.36;3.46;3.56;3.66;3.77;3.88;3.99;4.1;4.22;4.34;4.46;4.58;4.71;4.84;4.97;5.1;5.23;5.36;5.5;5.63;5.77;5.91;6.06;6.2;6.35;6.5;6.65;6.8;6.95;7.11;7.26;7.42;7.58;7.74
ecu;mean_years_in_school_women_25_to_34_years;4.4;4.52;4.65;4.78;4.91;5.04;5.17;5.31;5.45;5.59;5.74;5.88;6.03;6.18;6.33;6.48;6.64;6.79;6.95;7.1;7.26;7.42;7.58;7.74;7.9;8.06;8.21;8.36;8.52;8.68;8.83;8.99;9.15;9.31;9.46;9.62;9.78;9.94;10.11;10.27;10.43;10.59;10.75;10.91;11.07;11.24
egy;mean_years_in_school_women_25_to_34_years;2.49;2.57;2.66;2.75;2.84;2.94;3.04;3.15;3.25;3.37;3.48;3.6;3.72;3.85;3.98;4.12;4.26;4.4;4.55;4.7;4.86;5.02;5.19;5.36;5.54;5.72;5.89;6.06;6.22;6.39;6.56;6.73;6.89;7.06;7.23;7.4;7.56;7.73;7.9;8.06;8.23;8.4;8.56;8.73;8.89;9.06
eri;mean_years_in_school_women_25_to_34_years;0.97;1.0;1.03;1.07;1.1;1.14;1.18;1.22;1.26;1.3;1.34;1.39;1.43;1.48;1.53;1.58;1.63;1.68;1.74;1.8;1.85;1.91;1.98;2.04;2.11;2.18;2.25;2.32;2.4;2.47;2.55;2.63;2.71;2.8;2.88;2.97;3.06;3.15;3.24;3.34;3.43;3.53;3.63;3.74;3.84;3.95
esp;mean_years_in_school_women_25_to_34_years;5.84;5.99;6.13;6.29;6.44;6.59;6.75;6.91;7.08;7.24;7.41;7.58;7.75;7.92;8.1;8.28;8.46;8.64;8.82;9.01;9.19;9.38;9.57;9.76;9.95;10.14;10.32;10.51;10.69;10.86;11.04;11.22;11.39;11.56;11.74;11.9;12.07;12.24;12.4;12.56;12.72;12.88;13.04;13.19;13.35;13.5
est;mean_years_in_school_women_25_to_34_years;7.29;7.45;7.61;7.77;7.94;8.1;8.27;8.44;8.61;8.78;8.94;9.12;9.29;9.46;9.63;9.8;9.97;10.14;10.31;10.48;10.66;10.82;10.99;11.16;11.33;11.49;11.66;11.82;11.98;12.14;12.29;12.45;12.61;12.76;12.91;13.06;13.21;13.36;13.5;13.64;13.79;13.92;14.06;14.2;14.33;14.47
eth;mean_years_in_school_women_25_to_34_years;0.91;0.95;0.98;1.01;1.05;1.09;1.13;1.17;1.21;1.25;1.3;1.34;1.39;1.44;1.49;1.54;1.6;1.65;1.71;1.77;1.83;1.89;1.96;2.02;2.09;2.16;2.23;2.3;2.37;2.44;2.52;2.59;2.67;2.74;2.82;2.9;2.98;3.06;3.14;3.22;3.31;3.39;3.48;3.57;3.66;3.75
fin;mean_years_in_school_women_25_to_34_years;8.16;8.33;8.49;8.66;8.83;9.0;9.17;9.34;9.5;9.67;9.84;10.01;10.18;10.35;10.52;10.69;10.85;11.02;11.18;11.35;11.51;11.67;11.83;11.99;12.14;12.29;12.44;12.59;12.74;12.89;13.03;13.18;13.32;13.46;13.6;13.74;13.88;14.02;14.15;14.28;14.42;14.55;14.67;14.8;14.92;15.05
